name,email,role,city,wall_slug,population,city_population_rank
Delaney Mack,dmack@langleycity.ca,Councillor,Langley,delaney-mack-councillor,132603,8
Kim Richter,krichter@tol.ca,Councillor,Langley,kim-richter-councillor,132603,8
Leith White,lwhite@langleycity.ca,Councillor,Langley,leith-white-councillor,132603,8
Margaret Kunst,mkunst@tol.ca,Councillor,Langley,margaret-kunst-councillor,132603,8
Michael Pratt,mpratt@tol.ca,Councillor,Langley,michael-pratt-councillor,132603,8
Mike Solyom,msolyom@langleycity.ca,Councillor,Langley,mike-solyom-councillor,132603,8
Paul Albrecht,palbrecht@langleycity.ca,Councillor,Langley,paul-albrecht-councillor,132603,8
Rob Rindt,rrindt@tol.ca,Councillor,Langley,rob-rindt-councillor,132603,8
Rosemary Wallace,rwallace@langleycity.ca,Councillor,Langley,rosemary-wallace-councillor,132603,8
Steve Ferguson,sferguson@tol.ca,Councillor,Langley,steve-ferguson-councillor,132603,8
Teri James,tjames@langleycity.ca,Councillor,Langley,teri-james-councillor,132603,8
Tim Baillie,tbaillie@tol.ca,Councillor,Langley,tim-baillie-councillor,132603,8
Dave Thompson,Dave.Thompson@victoria.ca,Councillor,Victoria,dave-thompson-councillor,91867,14
Jeremy Caradonna,jcaradonna@victoria.ca,Councillor,Victoria,jeremy-caradonna-councillor,91867,14
Krista Loughton,kloughton@victoria.ca,Councillor,Victoria,krista-loughton-councillor,91867,14
Marg Gardiner,mgardiner@victoria.ca,Councillor,Victoria,marg-gardiner-councillor,91867,14
Matt Dell,mdell@victoria.ca,Councillor,Victoria,matt-dell-councillor,91867,14
Stephen Hammond,shammond@victoria.ca,Councillor,Victoria,stephen-hammond-councillor,91867,14
Susan Kim,skim@victoria.ca,Councillor,Victoria,susan-kim-councillor,91867,14
